# d, f1, f2, f3, f4, f5
1.000000000000000000e+00,7.388585607940446609e-01,7.352853598014887915e-01,7.411414392059553213e-01,7.401488833746898699e-01,7.387593052109181491e-01
2.000000000000000000e+00,8.117121588089329931e-01,8.133995037220843605e-01,8.185607940446649744e-01,8.182630272952853279e-01,8.097270471464019792e-01
3.000000000000000000e+00,8.240198511166253459e-01,8.210421836228287695e-01,8.273945409429280806e-01,8.278908188585607508e-01,8.172704714640198764e-01
4.000000000000000000e+00,8.311662531017369737e-01,8.255086848635235786e-01,8.359305210918114293e-01,8.324565756823821827e-01,8.240198511166253459e-01
5.000000000000000000e+00,8.330521091811414758e-01,8.278908188585607508e-01,8.379156327543424432e-01,8.340446650124069272e-01,8.269975186104218112e-01
6.000000000000000000e+00,8.328535980148883411e-01,8.280893300248138855e-01,8.396029776674938105e-01,8.377171215880893085e-01,8.277915632754342390e-01
7.000000000000000000e+00,5.600992555831265651e-01,5.198014888337468831e-01,5.815384615384615596e-01,8.375186104218361738e-01,8.304714640198511688e-01
8.000000000000000000e+00,5.387593052109180825e-01,7.326054590570719727e-01,5.364764267990074220e-01,4.333498759305211001e-01,4.933002481389578420e-01
9.000000000000000000e+00,4.801985111662531169e-01,5.621836228287840909e-01,4.654094292803970245e-01,6.906203473945409232e-01,4.273945409429280584e-01
