# d, f1, f2, f3, f4, f5
1.000000000000000000e+00,7.366749379652605123e-01,7.291315136476427261e-01,7.351861042183622796e-01,7.359801488833747074e-01,7.320099255583126796e-01
2.000000000000000000e+00,7.760794044665012548e-01,7.703225806451612367e-01,7.759801488833747429e-01,7.777667493796526221e-01,7.743920595533498874e-01
3.000000000000000000e+00,7.967245657568238215e-01,7.911662531017369382e-01,7.965260545905706868e-01,7.994044665012406403e-01,7.942431761786600264e-01
4.000000000000000000e+00,8.054590570719603049e-01,8.007940446650123612e-01,8.063523573200992445e-01,8.094292803970223327e-01,8.033746898263027791e-01
5.000000000000000000e+00,8.078411910669974771e-01,8.016873449131514118e-01,8.091315136476426861e-01,8.114143920595533466e-01,8.046650124069478771e-01
6.000000000000000000e+00,8.097270471464019792e-01,8.078411910669974771e-01,8.102233250620347604e-01,8.131017369727047139e-01,8.094292803970223327e-01
7.000000000000000000e+00,8.182630272952853279e-01,8.160794044665012903e-01,8.207444168734491230e-01,8.229280397022332716e-01,8.161786600496278021e-01
8.000000000000000000e+00,8.282878411910670202e-01,8.245161290322580161e-01,8.335483870967741460e-01,8.309677419354838390e-01,8.230272952853597834e-01
9.000000000000000000e+00,8.306699751861041925e-01,8.257071960297767133e-01,8.376178660049627966e-01,8.355334987593051599e-01,8.270967741935484341e-01
1.000000000000000000e+01,8.295781637717121182e-01,8.264019851116625182e-01,8.364267990074442105e-01,8.345409429280397084e-01,8.249131513647642855e-01
1.100000000000000000e+01,8.309677419354838390e-01,8.244168734491315043e-01,8.373200992555831501e-01,8.362282878411910758e-01,8.262034739454093835e-01
1.200000000000000000e+01,8.054590570719603049e-01,7.864019851116624826e-01,8.150868486352357278e-01,8.139950372208436535e-01,8.096277915632754674e-01
