# d, f1, f2, f3, f4, f5
1.000000000000000000e+00,7.496599999999999930e-01,7.471999999999999753e-01,7.526800000000000157e-01,7.511999999999999789e-01,7.509799999999999809e-01
2.000000000000000000e+00,8.034400000000000430e-01,8.021200000000000552e-01,8.033599999999999630e-01,8.022599999999999731e-01,8.021399999999999642e-01
3.000000000000000000e+00,8.114200000000000301e-01,8.097199999999999953e-01,8.100199999999999623e-01,8.094999999999999973e-01,8.102800000000000002e-01
4.000000000000000000e+00,8.176200000000000134e-01,8.166400000000000325e-01,8.151199999999999557e-01,8.161800000000000166e-01,8.160399999999999876e-01
5.000000000000000000e+00,8.185000000000000053e-01,8.169999999999999485e-01,8.177799999999999514e-01,8.166999999999999815e-01,8.165599999999999525e-01
6.000000000000000000e+00,7.171399999999999997e-01,7.156799999999999828e-01,8.177400000000000224e-01,7.154399999999999649e-01,6.508199999999999541e-01
7.000000000000000000e+00,5.315800000000000525e-01,6.101999999999999647e-01,4.571000000000000063e-01,5.854200000000000514e-01,5.574400000000000466e-01
8.000000000000000000e+00,5.556799999999999518e-01,6.159999999999999920e-01,5.528600000000000181e-01,5.504799999999999693e-01,5.309800000000000075e-01
9.000000000000000000e+00,5.504799999999999693e-01,5.493799999999999795e-01,5.917400000000000437e-01,5.293999999999999817e-01,5.539600000000000080e-01
