# d, f1, f2, f3, f4, f5
1.000000000000000000e+00,8.264938444600140599e-01,8.196877189470523906e-01,8.245921329196276295e-01,8.282454208787909389e-01,8.288459613652287006e-01
2.000000000000000000e+00,8.343008707837052951e-01,8.331498348513661778e-01,8.342007807026323718e-01,8.382544289860874853e-01,8.444600140126113930e-01
3.000000000000000000e+00,8.389550595535982813e-01,8.360024021619457679e-01,8.381543389050145620e-01,8.422079871884696756e-01,8.471124011610449145e-01
4.000000000000000000e+00,7.556300670603542935e-01,8.392553297968171622e-01,8.415574016614953967e-01,8.452106896206585951e-01,8.503653287959163087e-01
5.000000000000000000e+00,6.646982284055650281e-01,6.386247622860574680e-01,3.560204183765388608e-01,5.652086878190371033e-01,8.509158242418176643e-01
6.000000000000000000e+00,6.754078670803723705e-01,7.395155640076068737e-01,7.311580422380141719e-01,6.530377339605645259e-01,8.517165448904013836e-01
7.000000000000000000e+00,4.665198678810930089e-01,4.348413572214993583e-01,4.622660394354919378e-01,3.545190671604444010e-01,3.982584325893304134e-01
8.000000000000000000e+00,3.592733460114102551e-01,3.800420378340506611e-01,7.393654288859974333e-01,3.894004604143729287e-01,5.636572915624061819e-01
9.000000000000000000e+00,3.820438394555099593e-01,3.862976679011109749e-01,3.818436592933640017e-01,3.864478030227204708e-01,5.598038234410970260e-01
