# d, f1, f2, f3, f4, f5
1.000000000000000000e+00,7.159296028880866025e-01,7.378158844765343449e-01,7.143501805054152110e-01,7.170577617328519615e-01,7.267599277978339378e-01
2.000000000000000000e+00,7.565433212996389711e-01,7.734657039711191340e-01,7.527075812274368616e-01,7.407490974729241673e-01,7.601534296028881199e-01
3.000000000000000000e+00,7.824909747292418949e-01,8.003158844765343449e-01,7.827166064981949667e-01,7.827166064981949667e-01,7.944494584837544782e-01
4.000000000000000000e+00,7.969314079422382679e-01,8.086642599277977794e-01,7.935469314079421910e-01,7.960288808664259808e-01,8.041516245487364545e-01
5.000000000000000000e+00,7.969314079422382679e-01,8.115974729241877128e-01,7.906137184115523686e-01,8.000902527075812731e-01,8.041516245487364545e-01
6.000000000000000000e+00,7.978339350180505551e-01,8.111462093862815692e-01,7.953519855595667654e-01,7.944494584837544782e-01,8.052797833935018135e-01
7.000000000000000000e+00,8.093411552346569948e-01,8.222021660649819763e-01,8.030234657039710955e-01,8.016696750902526647e-01,8.152075812274368616e-01
8.000000000000000000e+00,8.185920577617328275e-01,8.303249097472924500e-01,8.152075812274368616e-01,8.104693140794223538e-01,8.255866425992779423e-01
9.000000000000000000e+00,8.242328519855595115e-01,8.346119133574007032e-01,8.226534296028881199e-01,8.154332129963899334e-01,8.341606498194945596e-01
1.000000000000000000e+01,8.244584837545125833e-01,8.366425992779783494e-01,8.165613718411551814e-01,8.149819494584837898e-01,8.325812274368230570e-01
1.100000000000000000e+01,8.249097472924187269e-01,8.352888086642599186e-01,8.206227436823104737e-01,8.158844765342960770e-01,8.314530685920578090e-01
1.200000000000000000e+01,7.669223826714801628e-01,8.368682310469314212e-01,7.524819494584837898e-01,7.639891696750902295e-01,7.694043321299639526e-01
