# d, f1, f2, f3, f4, f5
1.000000000000000000e+00,7.084730461697188453e-01,7.129868454990971882e-01,7.147278823832859951e-01,7.120840856332215640e-01,7.134382254320350558e-01
2.000000000000000000e+00,7.846917719886510323e-01,7.904307454217178730e-01,7.874645344338405684e-01,7.847562548362135848e-01,7.890121227753417177e-01
3.000000000000000000e+00,7.928810936290946465e-01,7.981042042816610671e-01,7.959762703120969451e-01,7.976528243487231995e-01,7.945576476657209009e-01
4.000000000000000000e+00,8.007480010317256092e-01,8.025535207634769685e-01,8.028114521537270676e-01,8.021666236781016535e-01,8.010704152695382607e-01
5.000000000000000000e+00,8.010704152695382607e-01,8.037142120196028028e-01,8.031983492391023827e-01,8.030049006964147251e-01,8.033273149342274877e-01
6.000000000000000000e+00,8.011348981171008132e-01,8.030049006964147251e-01,8.043590404952282169e-01,8.036497291720402503e-01,8.039076605622904603e-01
7.000000000000000000e+00,8.032628320866649352e-01,8.071318029404178640e-01,5.700283724529274787e-01,8.059711116842920298e-01,8.048749032757286370e-01
8.000000000000000000e+00,7.337503224142377656e-01,7.320737683776115112e-01,4.361619809130771186e-01,7.337503224142377656e-01,5.157982976528243668e-01
9.000000000000000000e+00,4.690482331699767915e-01,4.902630900180551810e-01,4.887155016765540316e-01,6.673974722723755582e-01,3.887026051070415211e-01
