# d, f1, f2, f3, f4, f5
1.000000000000000000e+00,7.231498194945847890e-01,7.434566787003610289e-01,7.226985559566786455e-01,7.256317689530685788e-01,7.299187725631769430e-01
2.000000000000000000e+00,7.996389891696751295e-01,8.104693140794223538e-01,7.955776173285198372e-01,7.908393501805054404e-01,8.052797833935018135e-01
3.000000000000000000e+00,8.174638989169674685e-01,8.323555956678699852e-01,8.226534296028881199e-01,8.156588447653430052e-01,8.262635379061371577e-01
4.000000000000000000e+00,8.242328519855595115e-01,8.379963898916967802e-01,8.271660649819494449e-01,8.215252707581227609e-01,8.328068592057761288e-01
5.000000000000000000e+00,8.244584837545125833e-01,8.402527075812273871e-01,8.258122743682310141e-01,8.222021660649819763e-01,8.343862815884476314e-01
6.000000000000000000e+00,8.240072202166065507e-01,8.407039711191335307e-01,8.278429602888086603e-01,8.251353790613717987e-01,8.348375451263537750e-01
7.000000000000000000e+00,6.022111913357400814e-01,8.404783393501804589e-01,4.681859205776173205e-01,4.799187725631768875e-01,6.067238267148014064e-01
8.000000000000000000e+00,6.913357400722022206e-01,4.693140794223826795e-01,5.489620938628159141e-01,6.489169675090252776e-01,4.602888086642599186e-01
9.000000000000000000e+00,4.724729241877256292e-01,4.377256317689530718e-01,5.234657039711191340e-01,5.421931407942238712e-01,5.047382671480143967e-01
