# d, f1, f2, f3, f4, f5
1.000000000000000000e+00,8.156841157041336832e-01,8.120808727855070019e-01,8.186868181363227137e-01,8.193874487038333987e-01,8.171354218796916813e-01
2.000000000000000000e+00,8.229406465819237848e-01,8.208387548793913968e-01,8.248924031628465103e-01,8.277950155139626176e-01,8.317986187568812140e-01
3.000000000000000000e+00,8.287458712841557773e-01,8.260934841357221448e-01,8.277449704734261005e-01,8.312981683515163756e-01,8.345510959863877698e-01
4.000000000000000000e+00,8.308477629866880543e-01,8.277449704734261005e-01,8.313982584325892988e-01,8.341507356620958547e-01,8.386547893103792894e-01
5.000000000000000000e+00,8.340006005404864142e-01,8.306976278650786139e-01,8.356020418376538528e-01,8.408067260534480836e-01,8.433590231208086818e-01
6.000000000000000000e+00,8.360524472024822851e-01,8.331998798919026950e-01,8.377539785807226469e-01,8.429586627965168777e-01,8.446101491342208334e-01
7.000000000000000000e+00,8.376038434591132065e-01,8.352016815133620486e-01,8.398558702832549239e-01,8.438594735261735202e-01,8.472124912421179488e-01
8.000000000000000000e+00,7.572815533980582492e-01,7.617856070463416840e-01,7.645380842758482398e-01,7.546792112901611338e-01,8.476628966069462701e-01
9.000000000000000000e+00,7.238014212791512580e-01,7.425182664397957932e-01,7.309078170353318082e-01,7.458212391152037046e-01,8.488639775798217935e-01
1.000000000000000000e+01,6.437293564207786645e-01,6.815133620258232439e-01,6.316685016514863582e-01,6.491842658392553700e-01,8.493143829446502258e-01
1.100000000000000000e+01,5.629566609948953859e-01,6.160544490041036658e-01,6.354719247322589970e-01,5.281753578220398371e-01,8.486637974176759469e-01
1.200000000000000000e+01,4.176258632769492274e-01,5.745671103993593709e-01,4.267841056951255929e-01,3.886497848063256710e-01,8.221899709738764717e-01
